,publisher,genres,title,price,id,developer,release_year
97790,My.com,"['Action', 'Free to Play', 'Massively Multiplayer']",Warface - Sniper Tournament Pack,34.99,616990.0,Crytek,2017
97791,Ilsanjo,['Adventure'],The Wild Eternal,14.99,554810.0,Ilsanjo,2017
97792,Carbon Incubator,"['Casual', 'Indie']",Link Twin,3.99,612890.0,Lorraine Studio,2017
97793,Hunchback Studio,"['Action', 'Adventure', 'Indie']",Gloom,9.99,619280.0,Hunchback Studio,2017
97794,tinyBuild,"['Action', 'Adventure', 'Indie']",Mr. Shifty,14.99,489140.0,Team Shifty,2017
97796,Hunchback Studio,"['Action', 'Adventure', 'Indie']",Gloom Official Soundtrack,2.99,620470.0,Hunchback Studio,2017
97797,tinyBuild,"['Action', 'Adventure', 'Indie']",Mr. Shifty OST,4.99,615260.0,Team Shifty,2017
97799,Kasedo Games,"['Simulation', 'Strategy']",Project Highrise: Las Vegas,6.99,582540.0,SomaSim,2017
97801,Stardock Entertainment,"['Indie', 'RPG', 'Simulation', 'Strategy']",Ashes of the Singularity: Escalation - Inception DLC,2.99,579270.0,"Stardock Entertainment,Oxide Games",2017
97803,Salty Dog Digital,"['Casual', 'Indie', 'Strategy']",Fourtex Jugo,9.99,499560.0,Salty Dog Digital,2017
97805,Oneshark,"['Adventure', 'Indie', 'RPG', 'Early Access']",Twist of Destiny,8.99,615150.0,Oneshark,2017
97807,Stereo7 Games,"['Action', 'Casual', 'Indie', 'Strategy']",Steampunk Syndicate,1.99,585360.0,Stereo7 Games,2017
97808,Jason Godbey,"['Adventure', 'Indie']",The Search,3.99,566190.0,Jason Godbey,2017
97811,Torch60,"['Indie', 'RPG']",Soma Spirits: Rebalance,4.99,587310.0,Torch60,2017
97812,Koth Studio,"['Casual', 'Indie', 'Sports', 'Strategy']",LASER STRIKERS,4.99,600500.0,Koth Studo,2017
97813,Degica,"['Design &amp; Illustration', 'Web Publishing']",RPG Maker MV - Medieval Dungeons,9.99,618661.0,"KADOKAWA,Yoji Ojima,PVGames",2017
97814,Degica,"['Design &amp; Illustration', 'Web Publishing']",RPG Maker MV - Medieval Bosses,4.99,618662.0,"KADOKAWA,Yoji Ojima,PVGames",2017
97815,Degica,"['Design &amp; Illustration', 'Web Publishing']",RPG Maker MV - Time Fantasy: Winter Tiles,4.99,618663.0,"KADOKAWA,Yoji Ojima",2017
97816,Degica,"['Design &amp; Illustration', 'Web Publishing']",RPG Maker MV - Spanish Guitar Strings,13.99,618664.0,Murray Atkinson,2017
97817,Engage Pixel,"['Action', 'Indie']",Captain Kaon,6.99,527380.0,Engage Pixel,2017
97818,Reward Hunters,"['Action', 'Indie', 'Massively Multiplayer']",Fishermurs,4.99,564210.0,Reward Hunters,2017
97819,Big Fish Games,"['Adventure', 'Casual']",Final Cut: Encore Collector's Edition,9.99,622550.0,Eipix Entertainment,2017
97820,Lucas Parise,"['Action', 'Adventure', 'Casual', 'Indie', 'Strategy']",My Own Little Planet,5.99,603250.0,Lucas Parise,2017
97822,Vilar Ingeniería de Software S.L.,"['Action', 'Adventure', 'RPG']",Arcane Maelstrom,6.99,580950.0,YellowEgg game studios,2017
97823,Iceflake Studios,"['Casual', 'Sports']",Premium Pool Arena,1.99,616240.0,Iceflake Studios,2017
97825,Armor Games Studios,"['Indie', 'RPG', 'Strategy']",Sonny,7.99,586750.0,Krin Juangbhanich,2017
97826,"Beep Games, Inc.","['Action', 'Adventure']",Voodoo Vince: Remastered,14.99,545980.0,"Beep Games, Inc.",2017
97827,"KOEI TECMO GAMES CO., LTD.",['Action'],Toukiden 2 - Mission Collection Set 4,4.99,569692.0,"KOEI TECMO GAMES CO., LTD.",2017
97828,Miryn Innovation,"['Casual', 'Indie', 'RPG']",Puzzle Guardians,10.99,607670.0,Miryn Innovation,2017
97830,Olli-Samuli Lehmus,"['Action', 'Indie']",GunHero,7.99,568840.0,Olli-Samuli Lehmus,2017
97834,Telltale Games,['Adventure'],Marvel's Guardians of the Galaxy: The Telltale Series,24.99,579950.0,Telltale Games,2017
97835,Double Fine Productions,['Adventure'],Full Throttle Remastered,14.99,228360.0,"Double Fine Productions,Shiny Shoe",2017
97837,Activision,['Strategy'],Call to Power II,5.99,572050.0,Activision,2000
97839,Activision,['Adventure'],Return to Zork,5.99,585240.0,Activision,1993
97840,Activision,['Adventure'],Spycraft: The Great Game,5.99,569220.0,Activision,1996
97841,Activision,['RPG'],Vampire: The Masquerade - Redemption,5.99,559680.0,Nihilistic Software,2000
97842,Activision,['Adventure'],Zork Anthology,5.99,570580.0,Infocom,1989
97843,Activision,['Adventure'],Zork: Grand Inquisitor,5.99,570680.0,Activision,1997
97846,rologfos,"['Action', 'Adventure', 'Indie', 'Racing']",WaveLand,9.99,532170.0,rologfos,2017
97847,Galaxy Game Studio,"['Casual', 'Indie', 'Racing', 'Sports', 'Early Access']",Bang Bang Car,0.0,592780.0,Galaxy Game Studio,2017
97849,Milestone S.r.l.,"['Racing', 'Simulation', 'Sports']",Ride 2 Free Bikes Pack 6,0.0,592830.0,Milestone S.r.l.,2017
97850,Aerosoft GmbH,['Simulation'],X-Plane 11 - Add-on: Aerosoft - Airport Zurich V2,29.99,582578.0,PadLabs GmbH,2017
97851,EarthWork Games,"['Action', 'Strategy']",Forts,14.99,410900.0,EarthWork Games,2017
97852,Woodheadgames Studio,"['Action', 'Casual', 'Indie', 'Racing', 'Sports']",Epic Mayhem,1.99,612430.0,Lance Kettledas,2017
97853,THQ Nordic,"['Action', 'RPG']",SpellForce 2 Soundtrack,4.99,624840.0,Phenomic,2017
97854,Dovetail Games - Flight,['Simulation'],FSX Steam Edition: Discover USA Add-On,16.99,556223.0,First Class Simulations,2017
97856,The Young Socratics,"['Adventure', 'Indie']",Odyssey - The Next Generation Science Game,14.99,558110.0,The Young Socratics,2017
97857,Sonera Game Studio,['Strategy'],Battle for Enlor,3.99,614880.0,Sonera Game Studio,2017
97861,Kongroth,"['Adventure', 'Casual', 'Simulation']",Pixel Sand,4.99,584880.0,Kongroth,2017
97862,JoyBits Ltd.,"['Casual', 'Indie', 'Simulation']",Doodle Mafia,5.99,598940.0,JoyBits Ltd.,2017
97863,AlternativaPlatform,"['Action', 'Free to Play', 'Massively Multiplayer', 'Early Access']",Tanki X,0.0,607200.0,AlternativaPlatform,2017
97864,Angry Mob Games,"['Action', 'Casual', 'Indie', 'Early Access']",Brawlout,19.99,263720.0,Angry Mob Games,2017
97865,"Black Chicken Studios, inc.","['Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy']",Academagia: The Making of Mages,15.99,533480.0,"Black Chicken Studios, inc.",2010
97867,Nuclear,"['Utilities', 'Early Access']",Handy Dice,2.99,556850.0,Nuclear,2017
97868,Reactive Drop Team,"['Action', 'Free to Play']",Alien Swarm: Reactive Drop,0.0,563560.0,Reactive Drop Team,2017
97869,Microsoft Studios,['Strategy'],Halo Wars: Definitive Edition,19.99,459220.0,"Ensemble Studios,Behaviour Interactive,343 Industries",2017
97872,Warfare Studios,"['Adventure', 'Casual', 'Indie', 'RPG', 'Strategy']",Grimoire Chronicles,3.99,607040.0,Warfare Studios,2017
97873,David OReilly,"['Casual', 'Indie', 'RPG', 'Simulation']",Everything OST,6.99,619940.0,David OReilly,2017
97875,The Game Creators,"['Animation &amp; Modeling', 'Design &amp; Illustration', 'Education', 'Software Training', 'Utilities', 'Web Publishing']",AppGameKit - GameGuru Loader,39.99,623270.0,The Game Creators,2017
97876,Onur Vural,"['Action', 'Adventure', 'Indie']",TankBlitz,7.99,620710.0,Onur Vural and Leigh Christian,2017
97877,Big Fish Games,"['Adventure', 'Casual']",Haunted Legends: The Bronze Horseman Collector's Edition,9.99,623460.0,ERS G Studios,2017
97878,Create Something Interesting,"['Casual', 'Indie']",Ramify,2.99,534560.0,Create Something Interesting,2017
97881,Nickervision Studios,"['Action', 'Casual', 'Indie']",Orbt XL,0.99,615610.0,Nickervision Studios,2017
97882,2D Heroes,"['Casual', 'Indie']",猫肉「Cat Meat」,0.99,464530.0,"2D Heroes,Ursa Games",2017
97884,Ethan Waite,"['Action', 'Casual', 'Indie', 'Strategy']",Dead Drop,5.99,587970.0,Ethan Waite,2017
97885,Blender Games,"['Casual', 'Indie']",aMAZE 2,0.99,628750.0,Blender Games,2017
97902,Nordcurrent,"['Casual', 'Strategy']",Building the Great Wall of China 2,0.0,497570.0,Nordcurrent,2017
97903,Nordcurrent,"['Casual', 'Strategy']",Building the Great Wall of China 2 - Collector's Edition,6.99,564830.0,Nordcurrent,2017
97904,Lightbulb Crew,"['Action', 'Strategy']","Games of Glory - ""Byorn Pack""",3.99,592420.0,Lightbulb Crew,2017
97906,BANDAI NAMCO Entertainment,"['Action', 'Adventure', 'Casual', 'Massively Multiplayer']",DRAGON BALL XENOVERSE 2 - DB Super Pack 3,7.99,508402.0,"QLOC,DIMPS",2017
97907,Rat King Entertainment,"['Adventure', 'Casual', 'Indie']",SOLITUNE,1.99,615670.0,Rat King Entertainment,2016
97908,"Piko Interactive LLC, Classics Digital","['Action', 'Adventure', 'RPG']",Spiritual Warfare &amp; Wisdom Tree Collection,7.99,624550.0,Wisdom Tree,2017
97909,101XP,"['Action', 'Free to Play', 'Massively Multiplayer', 'RPG']",Storm Riders,0.0,604190.0,"Mokylin Tech. Co.,Ltd",2017
97910,Thirsten Studios,"['Casual', 'Indie', 'Sports', 'Strategy']",Fish or Die,5.99,389230.0,Thirsten Studios,2016
97912,Square Enix,"['Action', 'RPG']",DRAGON QUEST HEROES™ II,59.99,574050.0,"Square Enix,KOEI TECMO GAMES CO., LTD.",2017
97914,The Irregular Corporation,"['Indie', 'Simulation', 'Early Access']",Sailaway - The Sailing Simulator,39.99,552920.0,Orbcreation,2017
97916,MAVR,['Simulation'],Starfighter Origins,19.99,564950.0,ShaunTWilliams,2017
97921,"Phobetor, Plug In Digital",['Strategy'],Army General,19.99,606950.0,Phobetor,2017
97922,Holospark,"['Action', 'Early Access']",Earthfall,14.99,415590.0,Holospark,2017
97925,Indietopia Games,"['Adventure', 'Indie', 'RPG', 'Strategy']",Nadia Was Here,11.99,436070.0,Jajaben Games,2017
97951,League of Geeks,"['Adventure', 'Indie', 'RPG', 'Strategy']",Armello - The Bandit Clan,9.99,398916.0,League of Geeks,2017
97955,Encircle Games,"['Action', 'Indie', 'Early Access']",Corroded,12.99,446030.0,Encircle Games,2017
97958,Annapurna Interactive,"['Adventure', 'Indie']",What Remains of Edith Finch - Soundtrack,4.99,629930.0,Giant Sparrow,2017
97959,OneManTeam,"['Action', 'Casual', 'Indie', 'Racing', 'Simulation']",Battle Riders,4.99,418060.0,OneManTeam,2017
97960,Rich Savage Global Media,"['Adventure', 'Casual', 'Simulation', 'Strategy']",MEGALOMANIAC,0.99,586770.0,Elmwood Game Studios,2017
97961,"XINESS Co,. Ltd.","['Action', 'Casual', 'Indie']",Dreamals,4.99,480770.0,"XINESS Co,. Ltd.",2017
97963,Circus Atos,"['Casual', 'Indie']",Under Leaves,4.99,567030.0,Circus Atos,2017
97966,WRGenesis,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Early Access']",Samhain World,2.99,618840.0,WRGenesis,2017
97968,Super God,"['Action', 'Adventure', 'Indie']",Riptale,5.99,616000.0,Super God,2017
97969,Sergio &amp; Simon,"['Indie', 'Simulation', 'Strategy']",Hearthlands,19.99,336300.0,Sergio &amp; Simon,2017
97970,Mango Protocol,"['Adventure', 'Indie']",Agatha Knife,11.99,618950.0,Mango Protocol,2017
97971,Ejoy Games,"['Adventure', 'Indie', 'RPG', 'Strategy']",Attack Heroes,9.99,428200.0,Ejoy Games,2017
97973,BANDAI NAMCO Entertainment,['Adventure'],Little Nightmares,19.99,424840.0,Tarsier Studios,2017
97975,BANDAI NAMCO Entertainment,['Adventure'],Little Nightmares – Original Soundtrack,4.99,601710.0,Tarsier Studios,2017
97977,Ebullience Games,"['Casual', 'Free to Play', 'Indie', 'Simulation']",AIRIS,0.0,628610.0,Ebullience Games,2017
97979,Arcanity Inc,"['Action', 'Adventure', 'Indie', 'RPG', 'Early Access']",Tanzia,14.99,369700.0,Arcanity Inc,2017
97981,onebraverobot,"['Indie', 'Racing']",Slowdrive,5.99,592300.0,onebraverobot,2017
97984,LunarCore Games,"['Action', 'Indie', 'RPG']",Knights of Galiveth,3.99,562290.0,"LunarCore Games,Challudym",2017
97985,Quiet River,"['Casual', 'Indie']",Zup! Zero - DLC,0.0,631320.0,Quiet River,2017
97987,Peak Angle Team,"['Massively Multiplayer', 'Racing', 'Simulation', 'Sports']",Peak Angle: Europe Country Road Track,0.0,630780.0,Peak Angle Team,2017
97994,Big Fish Games,"['Adventure', 'Casual']",Dark Parables: Ballad of Rapunzel Collector's Edition,9.99,629110.0,Blue Tea Games,2017
97995,aeiowu,"['Action', 'Adventure', 'Indie']",TumbleSeed,14.99,457890.0,"Benedict Fritz,Greg Wohlwend,Joel Corelitz,David Laskey,Jenna Blazevich",2017
97997,Alexey Glinskiy,"['Action', 'Casual', 'Indie', 'Massively Multiplayer']",Xbird,0.99,580150.0,Alexey Glinskiy,2017
97998,pheenix93,"['Adventure', 'Indie']",Clockwise,1.99,581380.0,"pheenix93,KtSmag",2017
97999,HeR Interactive,['Adventure'],Nancy Drew®: Message in a Haunted Mansion,9.99,615770.0,HeR Interactive,2000
98001,DIGITAL MISTAKE,"['Adventure', 'Casual', 'Indie']",NGHTMN,0.99,628420.0,DIGITAL MISTAKE,2017
98002,Triple Rush Games,"['Adventure', 'Casual', 'Indie', 'Simulation']",Project:surviving,1.99,608830.0,Triple Rush Games,2017
98003,N/A,"['Adventure', 'Indie', 'RPG']",Night of Terror,1.99,604200.0,woolfie_games,2017
98004,game 'o clock studios,"['Casual', 'Indie']",ClockwiZZZe,3.99,607230.0,game 'o clock studios,2017
98005,Digital Fusion Inc.,"['Action', 'Casual', 'Simulation']",Beachhead 2000,2.99,509610.0,Digital Fusion Inc.,2000
98008,Digital Fusion Inc.,"['Action', 'Casual']",Beachhead: DESERT WAR,1.99,614770.0,Digital Fusion Inc.,2003
98009,FeelThere,"['Indie', 'Simulation']",Tower!2011:SE - Seattle [KSEA] Airport,9.99,632320.0,FeelThere,2017
98010,FeelThere,"['Indie', 'Simulation']",Tower!2011:SE - Chicago [KORD] Airport,9.99,630480.0,FeelThere,2017
98011,FeelThere,"['Indie', 'Simulation']",Tower!2011:SE - Frankfurt [EDDF] Airport DLC,9.99,632310.0,FeelThere,2017
98012,FeelThere,"['Indie', 'Simulation']",Tower!2011:SE - New Orleans [KMSY] Airport,9.99,632370.0,FeelThere,2017
98013,FeelThere,"['Indie', 'Simulation']",Phoenix [KPHX] airport for Tower!3D Pro,9.99,632340.0,FeelThere,2017
98014,OtakuMaker.com,"['Action', 'Strategy']",Heavy Bleakness,9.99,614810.0,Sliverbroom Studios,2017
98015,Big Fish Games,['Casual'],Double Clue: Solitaire Stories,6.99,631250.0,Playtinum,2017
98016,Not Magic,"['Action', 'Adventure', 'Indie']",Pertinence Soundtrack,0.0,456410.0,Not Magic,2017
98017,Milestone S.r.l.,"['Racing', 'Simulation', 'Sports']",Ride 2 Free Bikes Pack 7,0.0,592840.0,Milestone S.r.l.,2017
98018,Aerosoft GmbH,['Simulation'],X-Plane 11 - Add-on: Aerosoft - Airport John F. Kennedy International,17.99,614004.0,FunnerFlight,2017
98019,Dovetail Games - Trains,['Simulation'],Train Simulator: BR Standard Class 6 ‘Clan Class’ Steam Loco Add-On,19.99,500241.0,Just Trains,2017
98020,Dovetail Games - Trains,['Simulation'],Train Simulator: London Transport Heritage Collection,19.99,562375.0,Dovetail Games,2017
98021,Dovetail Games - Flight,['Simulation'],FSX Steam Edition: Beechcraft® Duchess 76 Add-On,16.99,556210.0,Just Flight,2017
98022,Dovetail Games - Flight,['Simulation'],FSX Steam Edition: Cessna 182 Skylane RG II Add-On,19.99,500235.0,Carenado,2017
98024,Iceberg Interactive,"['Indie', 'Strategy']",Dawn of Andromeda,29.99,427570.0,Grey Wolf Entertainment,2017
98025,Dovetail Games - Flight,['Simulation'],FSX Steam Edition: Night Environment: Dubai Add-On,18.99,602816.0,Chris Bell - Creative Design Studios,2017
98026,Rawkins Games,"['Action', 'Casual', 'Indie', 'Sports']",Dolphin Up,2.99,534680.0,Rawkins Games,2017
98027,Screen 7,"['Indie', 'Racing']",Dumbass Drivers!,1.99,597040.0,Screen 7,2017
98030,Stardock Entertainment,"['Indie', 'Strategy']",Galactic Civilizations III: Crusade Expansion Pack,19.99,527070.0,Stardock Entertainment,2017
98033,Dovetail Games,['Simulation'],TS Marketplace: BR Hawksworth Coach Pack 01 Add-On,4.99,448201.0,Matrix Trains,2017
98034,UniqueGames,"['Simulation', 'Sports', 'Strategy']",Handball Manager - TEAM,19.99,623860.0,"UniqueGames,Greencode",2017
98035,Dovetail Games,['Simulation'],TS Marketplace: BR Hawksworth Coach Pack 02 Add-On,4.99,448202.0,Matrix Trains,2017
98036,Rain Games,"['Action', 'Adventure', 'Indie', 'RPG']",World to the West,19.99,530020.0,Rain Games,2017
98037,Choice of Games,"['Adventure', 'Indie', 'RPG']",Welcome to Moreytown,4.99,625990.0,Choice of Games,2017
98040,Psychodev,['Adventure'],Chronicle of Innsmouth,12.99,420180.0,"Umberto Parisi (rmonic79),Amedeo Vasaturo (meovas)",2017
98041,Graham Dodge,['RPG'],GALER: Plague of Heroes,3.99,508330.0,Graham Dodge,2017
98042,Paleno Games,"['Casual', 'Indie']",#monstercakes,0.99,614910.0,Paleno Games,2017
98043,Feline Fuelled Games,"['Adventure', 'Indie']",Sandra and Woo in the Cursed Adventure,16.99,619350.0,Feline Fuelled Games,2017
98044,Feline Fuelled Games,"['Adventure', 'Indie']",Sandra and Woo in the Cursed Adventure - Game Guide,0.0,627470.0,Feline Fuelled Games,2017
98045,Feline Fuelled Games,"['Adventure', 'Indie']",Sandra and Woo in the Cursed Adventure - Poser Pack Upgrade,3.99,627500.0,Feline Fuelled Games,2017
98046,Marshlight Software,"['Adventure', 'Indie']",The Edgelands,6.99,563860.0,Marshlight Software,2017
98047,Focus Home Interactive,['Simulation'],Farming Simulator 17 - Big Bud Pack,14.99,605550.0,Giants Software,2017
98050,"NIS America, Inc.",['Simulation'],Birthdays the Beginning / バースデイズ・ザ・ビギニング,39.99,525700.0,"Arc System Works,TOYBOX Inc.",2017
98056,Thomas ZIGHEM,"['Indie', 'Strategy', 'Early Access']",Genesia Legacy: Ultimate Domain,19.99,591930.0,Thomas ZIGHEM,2017
98057,Well Bred Rhino,"['Action', 'Adventure', 'Indie']",Last Stitch Goodnight,9.99,509620.0,Well Bred Rhino,2017
98060,Lock 'n Load Publishing,"['Indie', 'Strategy']",Tank On Tank Digital - East Front,19.99,613870.0,Hexdraw,2017
98061,Silent Legends,"['Casual', 'Free to Play', 'Indie', 'Strategy', 'Early Access']",Battles of the Valiant Universe CCG,0.0,550740.0,Silent Legends,2017
98062,Dogenzaka Lab,['Adventure'],Gakuen Club,29.99,505080.0,OperaHouse Corporation,2017
98063,Ch.ZBK,"['Action', 'Adventure', 'Indie']",PLUTONIUM,1.99,634700.0,Ch.ZBK,2017
98064,Lock 'n Load Publishing,"['Indie', 'Simulation', 'Strategy']",Tank On Tank Digital  - West Front,19.99,613860.0,Hexdraw,2017
98065,AAG Studio,"['Action', 'Indie']",Nighthaw-X3000 - Official Soundtrack,4.99,636080.0,N94Games,2017
98066,The Ninth Art,"['Massively Multiplayer', 'RPG', 'Strategy']",Master of Magic Chess Deluxe Edition,9.99,625920.0,The Ninth Art,2017
98067,Ametist studio,"['Action', 'Indie', 'Early Access']",Pixel Shinobi Nine demons of Mamoru,10.99,622870.0,Ametist studio,2017
98068,"Brightrock Games, GamesAid","['Indie', 'Strategy']",War for the Overworld - The Cynical Imp (Charity DLC),2.99,385120.0,Brightrock Games,2017
98069,Warped Tales,"['Adventure', 'Indie', 'RPG']",Unhappy Ever After: Blood Tales,0.99,591030.0,Warped Tales,2017
98070,Dovetail Games - Trains,['Simulation'],Train Simulator: CPRR 4-4-0 No. 60 ‘Jupiter’ Steam Loco Add-On,24.99,562379.0,Smokebox,2017
98071,Raptisoft,"['Action', 'Adventure', 'Indie']",Hoggy 2,4.99,617270.0,Raptisoft,2017
98072,Motion Twin,"['Action', 'Indie', 'Early Access']",Dead Cells,16.99,588650.0,Motion Twin,2017
98073,Laura Shigihara,"['Adventure', 'Indie', 'RPG']",Rakuen Original Soundtrack,9.99,572910.0,Laura Shigihara,2017
98074,Laura Shigihara,"['Adventure', 'Indie', 'RPG']",Rakuen,9.99,559210.0,Laura Shigihara,2017
98075,Big Fish Games,"['Adventure', 'Casual']",Haunted Train: Spirits of Charon Collector's Edition,9.99,631240.0,Deep Shadows Games,2017
98076,Rebellion,['Action'],Battlezone - Rogue Trooper (Bobblehead),0.99,558832.0,Rebellion,2017
98077,Rebellion,['Action'],Battlezone - Royal Tiger (Skin),0.99,594462.0,Rebellion,2017
98078,Rebellion,['Action'],Battlezone - Skeleton (Bobblehead),0.99,558834.0,Rebellion,2017
98079,Rebellion,['Action'],Battlezone - Snowman (Bobblehead),0.99,594470.0,Rebellion,2017
98080,Rebellion,['Action'],Battlezone - Urban Camo (Skin),0.99,594452.0,Rebellion,2017
98081,Rebellion,['Action'],Battlezone - Tank Horn Pack (Horns),0.99,594480.0,Rebellion,2017
98082,Rebellion,['Action'],Battlezone - Vibrant Neon (Skin),0.99,594431.0,Rebellion,2017
98083,"YarGri, EHTechnology","['Action', 'Adventure', 'Casual', 'Indie']",HellGunner,0.99,618120.0,"YarGri,EHTechnology",2017
98084,Laush Studio,['Strategy'],Defence to death,1.99,603150.0,Laush Dmitriy Sergeevich,2017
98085,FIVE-BN GAMES,"['Adventure', 'Casual', 'Free to Play']",Mystic Journey: Tri Peaks Solitaire,0.0,615340.0,FIVE-BN GAMES,2017
98087,Protection Games,"['Casual', 'Indie', 'RPG', 'Simulation', 'Strategy', 'Early Access']",Market Tycoon,9.99,563360.0,Protection Games,2017
98088,Veslo Games,"['Action', 'Adventure', 'Indie']",Die With Glory,5.99,551050.0,Castle,2017
98089,KoheiGallery,['Indie'],Moe Mekuri SP -Moe Mekuri 1 VOCAL COLLECTION-,2.99,632120.0,KoheiGallery,2017
98091,Dovetail Games - Flight,['Simulation'],FSX Steam Edition: Night Environment: Alps Add-On,18.99,602817.0,Chris Bell - Creative Design Studios,2017
98092,SCS Software,"['Indie', 'Simulation']",Euro Truck Simulator 2 - Heavy Cargo Pack,4.99,531131.0,SCS Software,2017
98094,KISS ltd,"['Indie', 'Strategy', 'Early Access']",Defend the Highlands: World Tour,9.99,527320.0,Kilted Camel,2017
98095,Pill Bug Interactive,"['Indie', 'Simulation', 'Strategy']",Intelligent Design: An Evolutionary Sandbox,6.99,627620.0,Pill Bug Interactive,2017
98097,Dedication Labs,"['Action', 'Casual', 'Indie', 'Racing']",RUMP! - It's a Jump and Rump!,9.99,348160.0,Dedication Labs,2017
98098,Big Way,"['Action', 'Indie', 'Massively Multiplayer', 'RPG', 'Simulation', 'Early Access']",STEAM HAMMER,19.99,530560.0,SF team,2017
98099,Big Way,"['Action', 'Indie', 'RPG', 'Simulation']",Steam Hammer - The Complete Soundtrack,4.99,625330.0,SF team,2017
98100,Lestyo,['Casual'],Pic Guesser,0.99,625950.0,ArteG,2017
98101,Dovetail Games - Flight,['Simulation'],FSX Steam Edition: Piper Archer III Add-On,16.99,602812.0,Just Flight,2017
98103,"The Fighter Collection, Eagle Dynamics SA",['Simulation'],DCS: M-2000C,59.99,411892.0,RAZBAM Sims,2017
98105,Sacada,"['Casual', 'Strategy']",LOGistICAL - The Netherlands,4.99,635750.0,Sacada,2017
98106,AAG Studio,"['Action', 'Casual', 'Indie']",Gaben Kingdom,0.99,593340.0,Mariusz Gibas,2017
98107,Big Fish Games,"['Adventure', 'Casual']",Phantasmat: The Endless Night Collector's Edition,9.99,635520.0,Eipix Entertainment,2017
98108,3Dflow SRL,"['Animation &amp; Modeling', 'Design &amp; Illustration', 'Video Production']",3DF Zephyr Lite Steam Edition,149.99,438450.0,3Dflow SRL,2016
98109,Mad Head Games,"['Action', 'Indie']",Rocking Pilot,5.99,593680.0,"Gungrounds,Mad Head Games",2017
98111,xrrawva,"['Action', 'Adventure', 'Indie']","The End o,,,o - Soundtrack",0.99,638550.0,xrrawva,2017
98116,None,"['Adventure', 'Indie', 'RPG']",SuperCluster: Void,4.99,610740.0,Logan McClure,2017
98117,Creative Mobile,"['Action', 'Indie']",Trigger Time,4.99,512920.0,Shephf Games,2017
98123,Iceberg Interactive,"['Action', 'Adventure', 'Indie']",Empathy: Path of Whispers - Original soundtrack,0.0,634170.0,Pixel Night,2017
98124,Iceberg Interactive,"['Adventure', 'Indie']",Empathy: Path of Whispers,19.99,291690.0,Pixel Night,2017
98125,Daedalic Entertainment,"['Indie', 'Simulation', 'Strategy']",Bounty Train,24.99,371520.0,Corbie Games,2017
98126,Kongregate,"['Action', 'Indie']",GRIDD: Retroenhanced,11.99,553950.0,Antab Studio,2017
98127,Sameer Hirezi,"['Action', 'Adventure', 'Indie']",One Sole Purpose,7.99,548350.0,Sameer Hirezi,2017
98128,Restful Panic ltd,"['Adventure', 'Indie']",Concurrency,5.99,636310.0,Restful Panic ltd,2017
98131,Viacheslav Bushuev,"['Adventure', 'Casual', 'Indie']",Rabbit Story,8.99,623810.0,Viacheslav Bushuev,2017
98132,Neojac Entertainment Inc.,"['Massively Multiplayer', 'RPG', 'Early Access']",Arcfall,19.99,623310.0,Neojac Entertainment inc.,2017
98133,CM Softworks Inc.,"['Action', 'Adventure', 'Casual', 'Indie']",Scorch,2.99,567220.0,CM Softworks Inc.,2017
98134,上海班图网络科技有限公司,"['Free to Play', 'Indie', 'Strategy', 'Early Access']",炎黄战纪之三国烽烟,0.0,590910.0,上海班图网络科技有限公司,2017
98135,Milestone S.r.l.,"['Racing', 'Simulation', 'Sports']",Ride 2 Free Bikes Pack 8,0.0,592850.0,Milestone S.r.l.,2017
98136,Rice Cooker Republic,"['Adventure', 'Indie']",Bokida - Heartfelt Reunion,17.99,612740.0,Rice Cooker Republic,2017
98138,Paradox Interactive,"['Simulation', 'Strategy']",Cities: Skylines - Rock City Radio,3.99,614582.0,Paradox Interactive,2017
98140,Slitherine Ltd.,"['Simulation', 'Strategy']",Command: Chains of War,19.99,614130.0,WarfareSims,2017
98141,Borealys Games,"['Action', 'Adventure', 'Indie']",Mages of Mystralia,19.99,529660.0,Borealys Games,2017
98142,Borealys Games,"['Action', 'Adventure', 'Indie']",Mages of Mystralia - Original Soundtrack,9.99,587200.0,Borealys Games,2017
98143,Plug In Digital,"['Adventure', 'Indie']",Rise of Balloons,4.99,610460.0,Mirum Studio,2017
98145,Klei Entertainment,"['Indie', 'Simulation', 'Early Access']",Oxygen Not Included,24.99,457140.0,Klei Entertainment,2017
98147,505 Games,"['Action', 'Adventure', 'RPG']",Portal Knights,19.99,374040.0,Keen Games,2017
98148,505 Games,"['Action', 'Adventure', 'RPG']",Portal Knights - Bibot Box,2.99,617110.0,Keen Games,2017
98149,505 Gamwa,"['Action', 'Adventure', 'RPG']",Portal Knights - Lobot Box,2.99,617120.0,Keen Games,2017
98150,505 Games,"['Action', 'Adventure', 'RPG']",Portal Knights - Emoji Box,2.99,617140.0,Keen Games,2017
98151,Stardock Entertainment,"['Indie', 'Simulation', 'Strategy']",Offworld Trading Company: Jupiter's Forge Expansion Pack,14.99,561150.0,Mohawk Games,2017
98152,SEGA,['Strategy'],Endless Space® 2,39.99,392110.0,AMPLITUDE Studios,2017
98153,VaragtP,"['Action', 'Casual', 'Indie']",Cooking Witch,1.99,514580.0,VaragtP,2017
